,0
294,10.0
295,20.0
296,10.0
297,10.0
298,10.0
299,24.0
300,10.0
301,10.0
302,10.0
303,10.0
304,10.0
305,10.0
306,10.0
307,10.0
308,10.0
309,10.0
310,10.0
311,10.0
312,10.0
313,10.0
314,10.0
315,10.0
316,10.0
317,11.0
318,10.0
319,10.0
320,10.0
321,10.0
322,10.0
323,10.0
324,10.0
325,10.0
326,10.0
327,10.0
328,10.0
329,10.0
330,20.0
331,10.0
332,10.0
333,10.0
334,10.0
335,10.0
336,10.0
337,10.0
338,10.0
339,10.0
340,10.0
341,10.0
342,10.0
343,10.0
344,10.0
345,10.0
346,10.0
347,10.0
348,10.0
349,10.0
350,10.0
351,20.0
352,11.0
353,10.0
354,10.0
355,10.0
356,10.0
357,10.0
358,11.0
359,10.0
360,10.0
361,10.0
362,10.0
363,10.0
364,10.0
365,10.0
366,10.0
367,10.0
368,10.0
369,10.0
370,10.0
371,10.0
372,10.0
373,10.0
374,20.0
375,10.0
376,10.0
377,10.0
378,10.0
379,10.0
380,10.0
381,10.0
382,10.0
383,10.0
384,10.0
385,10.0
386,10.0
387,10.0
388,10.0
389,10.0
390,10.0
391,10.0
392,10.0
393,10.0
394,10.0
395,10.0
396,10.0
397,10.0
398,10.0
399,10.0
400,10.0
401,10.0
402,10.0
403,10.0
404,10.0
405,10.0
406,10.0
407,10.0
408,10.0
409,10.0
410,10.0
411,10.0
412,10.0
413,10.0
414,20.0
415,10.0
416,10.0
417,10.0
418,20.0
419,20.0
420,11.0
421,10.0
422,20.0
423,24.0
424,10.0
425,10.0
426,10.0
427,10.0
428,10.0
429,10.0
430,10.0
431,10.0
432,10.0
433,10.0
434,10.0
435,10.0
436,10.0
437,10.0
438,10.0
439,10.0
440,10.0
441,10.0
442,10.0
443,10.0
444,10.0
445,10.0
446,10.0
447,10.0
448,10.0
449,10.0
450,20.0
451,20.0
452,10.0
453,10.0
454,10.0
455,10.0
456,10.0
457,10.0
458,10.0
459,10.0
460,10.0
461,10.0
462,10.0
463,10.0
464,10.0
465,10.0
466,10.0
467,10.0
468,10.0
469,10.0
470,10.0
471,10.0
472,10.0
473,10.0
474,10.0
475,10.0
476,10.0
477,20.0
478,20.0
479,11.0
480,10.0
481,10.0
482,10.0
483,10.0
484,10.0
485,10.0
486,10.0
487,10.0
488,10.0
489,10.0
490,10.0
491,10.0
492,10.0
493,10.0
494,10.0
495,10.0
496,10.0
497,10.0
498,20.0
499,20.0
500,10.0
501,10.0
502,10.0
503,10.0
504,10.0
505,10.0
506,10.0
507,20.0
508,10.0
509,10.0
510,10.0
511,10.0
512,10.0
513,10.0
514,10.0
515,10.0
516,10.0
517,10.0
518,10.0
519,10.0
520,10.0
521,10.0
522,10.0
523,10.0
524,10.0
525,10.0
526,10.0
527,10.0
528,10.0
529,10.0
530,10.0
531,10.0
532,10.0
533,10.0
534,20.0
535,10.0
536,20.0
537,20.0
538,20.0
539,10.0
540,10.0
541,10.0
542,10.0
543,10.0
544,10.0
545,10.0
546,10.0
547,10.0
548,10.0
549,33.0
550,33.0
551,33.0
552,33.0
553,33.0
554,33.0
555,33.0
556,33.0
557,33.0
558,33.0
559,33.0
560,21.0
561,10.0
562,10.0
563,10.0
564,10.0
565,10.0
566,10.0
567,10.0
568,10.0
569,10.0
570,20.0
571,20.0
572,20.0
573,20.0
574,10.0
575,10.0
576,10.0
577,10.0
578,10.0
579,10.0
580,10.0
581,10.0
582,10.0
583,10.0
584,10.0
585,10.0
586,10.0
587,10.0
588,10.0
589,10.0
590,20.0
591,10.0
592,10.0
593,10.0
594,10.0
595,10.0
596,20.0
597,20.0
598,10.0
599,10.0
600,10.0
601,10.0
602,10.0
603,10.0
604,10.0
605,10.0
606,10.0
607,10.0
608,10.0
609,10.0
610,10.0
611,10.0
612,10.0
613,10.0
614,10.0
615,10.0
616,10.0
617,10.0
618,10.0
619,10.0
620,10.0
621,10.0
622,10.0
623,10.0
624,10.0
625,10.0
626,10.0
627,10.0
628,10.0
629,20.0
630,20.0
631,10.0
632,10.0
633,10.0
634,10.0
635,10.0
636,10.0
637,10.0
638,20.0
639,10.0
640,10.0
641,10.0
642,10.0
643,10.0
644,10.0
645,10.0
646,10.0
647,10.0
648,10.0
649,10.0
650,10.0
651,10.0
652,10.0
653,10.0
654,10.0
655,10.0
656,10.0
657,10.0
658,10.0
659,10.0
660,10.0
661,10.0
662,10.0
663,10.0
664,10.0
665,10.0
666,10.0
667,10.0
668,10.0
669,10.0
670,10.0
671,10.0
672,10.0
673,10.0
674,10.0
675,10.0
676,20.0
677,33.0
678,33.0
679,10.0
680,10.0
681,10.0
682,10.0
683,10.0
684,10.0
685,10.0
686,10.0
687,10.0
688,10.0
689,10.0
690,10.0
691,10.0
692,10.0
693,10.0
694,10.0
695,10.0
696,10.0
697,10.0
698,10.0
699,10.0
700,10.0
701,10.0
702,10.0
703,10.0
704,10.0
705,10.0
706,10.0
707,10.0
708,10.0
709,10.0
710,10.0
711,10.0
712,10.0
713,10.0
714,10.0
715,10.0
716,10.0
717,10.0
718,10.0
719,10.0
720,10.0
721,10.0
722,10.0
723,10.0
724,10.0
725,10.0
726,10.0
727,10.0
728,10.0
729,10.0
730,10.0
731,10.0
732,10.0
733,10.0
734,10.0
735,10.0
736,10.0
737,10.0
738,10.0
739,10.0
740,10.0
741,10.0
742,10.0
743,10.0
744,10.0
745,10.0
746,10.0
747,10.0
748,10.0
749,10.0
750,10.0
751,10.0
752,10.0
753,10.0
754,10.0
755,10.0
756,10.0
757,11.0
758,10.0
759,10.0
760,10.0
761,10.0
762,10.0
763,10.0
764,10.0
765,10.0
766,20.0
767,20.0
768,10.0
769,10.0
770,10.0
771,10.0
772,10.0
773,10.0
774,10.0
775,10.0
776,10.0
777,10.0
778,10.0
779,10.0
780,10.0
781,10.0
782,10.0
783,10.0
784,10.0
785,20.0
786,10.0
787,10.0
788,10.0
789,10.0
790,10.0
791,10.0
792,10.0
793,10.0
794,10.0
795,10.0
796,10.0
797,10.0
798,10.0
799,10.0
800,10.0
801,10.0
802,10.0
803,10.0
804,10.0
805,10.0
806,10.0
807,10.0
808,10.0
809,10.0
810,10.0
811,10.0
812,10.0
813,10.0
814,10.0
815,10.0
816,10.0
817,10.0
818,10.0
819,10.0
820,10.0
821,10.0
822,10.0
823,10.0
824,10.0
825,10.0
826,10.0
827,10.0
828,10.0
829,10.0
830,10.0
831,10.0
832,10.0
833,10.0
834,10.0
835,10.0
836,10.0
837,10.0
838,10.0
839,10.0
840,10.0
841,10.0
842,10.0
843,10.0
844,10.0
845,10.0
846,10.0
847,10.0
848,10.0
849,10.0
850,10.0
851,10.0
852,10.0
853,10.0
854,10.0
855,10.0
856,10.0
857,10.0
858,10.0
859,10.0
860,10.0
861,10.0
862,10.0
863,11.0
864,11.0
865,10.0
866,10.0
867,10.0
868,20.0
869,10.0
870,10.0
871,10.0
872,10.0
873,10.0
874,10.0
875,10.0
876,10.0
877,10.0
878,10.0
879,10.0
880,10.0
881,10.0
882,10.0
883,10.0
884,10.0
885,20.0
886,10.0
887,10.0
888,10.0
889,10.0
890,10.0
891,10.0
892,10.0
893,10.0
894,10.0
895,10.0
896,10.0
897,10.0
898,10.0
899,10.0
900,10.0
901,10.0
902,10.0
903,10.0
904,10.0
905,10.0
906,10.0
907,10.0
908,10.0
909,10.0
910,10.0
911,10.0
912,10.0
913,10.0
914,10.0
915,10.0
916,10.0
917,10.0
918,10.0
919,10.0
920,10.0
921,10.0
922,24.0
923,24.0
924,24.0
925,24.0
926,24.0
927,24.0
928,24.0
929,24.0
930,24.0
931,24.0
932,24.0
933,24.0
934,24.0
935,24.0
936,24.0
937,24.0
938,24.0
939,24.0
940,24.0
941,24.0
942,24.0
943,24.0
944,10.0
945,10.0
946,10.0
947,10.0
948,10.0
949,10.0
950,20.0
951,20.0
952,10.0
953,10.0
954,10.0
955,10.0
956,10.0
957,10.0
958,10.0
959,10.0
960,10.0
961,10.0
962,10.0
963,10.0
964,10.0
965,10.0
966,10.0
967,10.0
968,10.0
969,10.0
970,10.0
971,10.0
972,10.0
973,10.0
974,10.0
975,20.0
976,10.0
977,10.0
978,10.0
979,10.0
980,10.0
981,10.0
982,10.0
983,10.0
984,10.0
985,10.0
986,10.0
987,10.0
988,10.0
989,10.0
990,10.0
991,10.0
992,10.0
993,10.0
994,10.0
995,10.0
996,10.0
997,10.0
998,10.0
999,10.0
1000,10.0
1001,10.0
1002,10.0
1003,20.0
1004,20.0
1005,10.0
1006,10.0
1007,10.0
1008,10.0
1009,10.0
1010,10.0
1011,10.0
1012,10.0
1013,10.0
1014,10.0
1015,10.0
1016,10.0
1017,10.0
1018,10.0
1019,10.0
1020,10.0
1021,10.0
1022,10.0
1023,10.0
1024,11.0
1025,11.0
1026,11.0
1027,11.0
1028,11.0
1029,11.0
1030,11.0
1031,11.0
1032,11.0
1033,11.0
1034,11.0
1035,10.0
1036,10.0
1037,20.0
1038,20.0
1039,20.0
1040,10.0
1041,10.0
1042,10.0
1043,10.0
1044,10.0
1045,10.0
1046,10.0
1047,10.0
1048,10.0
1049,10.0
1050,10.0
1051,10.0
1052,10.0
1053,10.0
1054,10.0
1055,10.0
1056,10.0
1057,10.0
1058,10.0
1059,10.0
1060,10.0
1061,10.0
1062,10.0
1063,10.0
1064,10.0
1065,10.0
1066,10.0
1067,10.0
1068,10.0
1069,10.0
1070,10.0
1071,10.0
1072,10.0
1073,10.0
1074,10.0
1075,20.0
1076,20.0
1077,10.0
1078,10.0
1079,20.0
1080,10.0
1081,10.0
1082,31.0
1083,31.0
1084,31.0
1085,31.0
1086,31.0
1087,31.0
1088,31.0
1089,31.0
1090,31.0
1091,31.0
1092,31.0
1093,31.0
1094,31.0
1095,31.0
1096,31.0
1097,33.0
1098,33.0
1099,10.0
1100,10.0
1101,10.0
1102,10.0
1103,10.0
1104,10.0
1105,10.0
1106,10.0
1107,10.0
1108,10.0
1109,10.0
1110,10.0
1111,10.0
1112,10.0
1113,10.0
1114,10.0
1115,10.0
1116,10.0
1117,10.0
1118,10.0
1119,10.0
1120,10.0
1121,10.0
1122,10.0
1123,10.0
1124,10.0
1125,20.0
1126,20.0
1127,10.0
1128,10.0
1129,10.0
1130,10.0
1131,10.0
1132,10.0
1133,10.0
1134,10.0
1135,10.0
1136,10.0
1137,10.0
1138,10.0
1139,10.0
1140,10.0
1141,10.0
1142,10.0
1143,20.0
1144,10.0
1145,10.0
1146,20.0
1147,10.0
1148,10.0
1149,10.0
1150,10.0
1151,10.0
1152,10.0
1153,10.0
1154,10.0
1155,10.0
1156,10.0
1157,10.0
1158,10.0
1159,10.0
1160,10.0
1161,10.0
1162,20.0
1163,10.0
1164,10.0
1165,10.0
1166,10.0
1167,10.0
1168,10.0
1169,10.0
1170,10.0
1171,10.0
1172,10.0
1173,10.0
1174,10.0
1175,10.0
1176,10.0
1177,20.0
1178,10.0
1179,10.0
1180,10.0
1181,33.0
1182,33.0
1183,24.0
1184,10.0
1185,10.0
1186,10.0
1187,10.0
1188,10.0
1189,10.0
1190,10.0
1191,10.0
1192,10.0
1193,10.0
1194,10.0
1195,10.0
1196,10.0
1197,10.0
1198,10.0
1199,11.0
1200,11.0
1201,10.0
1202,10.0
1203,10.0
1204,10.0
1205,31.0
1206,31.0
1207,31.0
1208,31.0
1209,24.0
1210,10.0
1211,10.0
1212,10.0
1213,10.0
1214,10.0
1215,10.0
1216,10.0
1217,10.0
1218,10.0
1219,11.0
1220,11.0
1221,10.0
1222,10.0
1223,10.0
1224,20.0
1225,10.0
1226,10.0
1227,10.0
1228,10.0
1229,10.0
1230,10.0
1231,11.0
1232,11.0
1233,10.0
1234,10.0
1235,10.0
1236,20.0
1237,10.0
1238,10.0
1239,10.0
1240,10.0
1241,10.0
1242,10.0
1243,10.0
1244,10.0
1245,10.0
1246,20.0
1247,10.0
1248,11.0
1249,10.0
1250,10.0
1251,10.0
1252,20.0
1253,10.0
1254,20.0
1255,10.0
1256,10.0
1257,10.0
1258,10.0
1259,10.0
1260,10.0
1261,10.0
1262,10.0
1263,10.0
1264,10.0
1265,10.0
1266,10.0
1267,10.0
1268,10.0
1269,10.0
1270,10.0
1271,10.0
1272,10.0
1273,10.0
1274,10.0
1275,10.0
1276,10.0
1277,10.0
1278,10.0
1279,10.0
1280,11.0
1281,10.0
1282,10.0
1283,10.0
1284,10.0
1285,10.0
1286,10.0
1287,10.0
1288,10.0
1289,10.0
1290,10.0
1291,10.0
1292,10.0
1293,10.0
1294,10.0
1295,30.0
1296,30.0
1297,30.0
1298,30.0
1299,30.0
1300,30.0
1301,30.0
1302,30.0
1303,30.0
1304,30.0
1305,30.0
1306,30.0
1307,30.0
1308,30.0
1309,24.0
1310,24.0
1311,24.0
1312,24.0
1313,24.0
1314,24.0
1315,24.0
1316,24.0
1317,24.0
1318,24.0
1319,24.0
1320,24.0
1321,24.0
1322,24.0
1323,24.0
1324,24.0
1325,24.0
1326,24.0
1327,24.0
1328,24.0
1329,24.0
1330,24.0
1331,24.0
1332,24.0
1333,24.0
1334,24.0
1335,24.0
1336,24.0
1337,24.0
1338,24.0
1339,24.0
1340,24.0
1341,24.0
1342,24.0
1343,24.0
1344,24.0
1345,24.0
1346,24.0
1347,24.0
1348,24.0
1349,24.0
1350,24.0
1351,24.0
1352,24.0
1353,24.0
1354,33.0
1355,10.0
1356,10.0
1357,10.0
1358,10.0
1359,10.0
1360,30.0
1361,30.0
1362,30.0
1363,30.0
1364,30.0
1365,30.0
1366,30.0
1367,30.0
1368,30.0
1369,30.0
1370,30.0
1371,30.0
1372,30.0
1373,30.0
1374,30.0
1375,30.0
1376,30.0
1377,30.0
1378,30.0
1379,30.0
1380,30.0
1381,30.0
1382,30.0
1383,30.0
1384,30.0
1385,10.0
1386,10.0
1387,10.0
1388,10.0
1389,10.0
1390,10.0
1391,10.0
1392,10.0
1393,20.0
1394,10.0
1395,10.0
1396,10.0
1397,10.0
1398,10.0
1399,10.0
1400,10.0
1401,10.0
1402,10.0
1403,10.0
1404,10.0
1405,10.0
1406,10.0
1407,10.0
1408,10.0
1409,10.0
1410,10.0
1411,20.0
1412,11.0
1413,10.0
1414,10.0
1415,10.0
1416,10.0
1417,10.0
1418,10.0
1419,10.0
1420,10.0
1421,10.0
1422,10.0
1423,10.0
1424,10.0
1425,10.0
1426,10.0
1427,10.0
1428,10.0
1429,10.0
1430,10.0
1431,10.0
1432,10.0
1433,10.0
1434,10.0
1435,10.0
1436,10.0
1437,10.0
1438,10.0
1439,10.0
1440,10.0
1441,10.0
1442,10.0
1443,10.0
1444,10.0
1445,10.0
1446,10.0
1447,10.0
1448,10.0
1449,10.0
1450,10.0
1451,10.0
1452,10.0
1453,10.0
1454,10.0
1455,10.0
1456,10.0
1457,10.0
1458,10.0
1459,10.0
1460,10.0
1461,10.0
1462,10.0
1463,10.0
1464,10.0
1465,10.0
1466,10.0
1467,10.0
1468,10.0
1469,10.0
1470,10.0
1471,10.0
1472,10.0
1473,10.0
1474,10.0
1475,20.0
1476,10.0
1477,10.0
1478,10.0
1479,10.0
1480,10.0
1481,10.0
1482,10.0
1483,10.0
1484,10.0
1485,10.0
1486,10.0
1487,10.0
1488,10.0
1489,10.0
1490,10.0
1491,10.0
1492,10.0
1493,10.0
1494,10.0
1495,10.0
1496,10.0
1497,10.0
1498,10.0
1499,10.0
1500,10.0
1501,10.0
1502,10.0
1503,10.0
1504,10.0
1505,10.0
1506,10.0
1507,10.0
1508,10.0
1509,10.0
1510,10.0
1511,10.0
1512,10.0
1513,10.0
1514,10.0
1515,10.0
1516,10.0
1517,10.0
1518,10.0
1519,10.0
1520,10.0
1521,10.0
1522,10.0
1523,10.0
1524,10.0
1525,10.0
1526,10.0
1527,10.0
1528,10.0
1529,10.0
1530,10.0
1531,10.0
1532,10.0
1533,10.0
1534,10.0
1535,10.0
1536,10.0
1537,10.0
1538,10.0
1539,10.0
1540,10.0
1541,10.0
1542,10.0
1543,10.0
1544,10.0
1545,10.0
1546,10.0
1547,20.0
1548,20.0
1549,20.0
1550,20.0
1551,10.0
1552,10.0
1553,10.0
1554,10.0
1555,10.0
1556,10.0
1557,10.0
1558,10.0
1559,20.0
1560,31.0
1561,31.0
1562,31.0
1563,31.0
1564,31.0
1565,31.0
1566,31.0
1567,31.0
1568,31.0
1569,31.0
1570,31.0
1571,31.0
1572,31.0
1573,31.0
1574,31.0
1575,31.0
1576,31.0
1577,31.0
1578,31.0
1579,31.0
1580,31.0
1581,31.0
1582,31.0
1583,31.0
1584,31.0
1585,31.0
1586,31.0
1587,31.0
1588,31.0
1589,31.0
1590,31.0
1591,31.0
1592,31.0
1593,31.0
1594,31.0
1595,31.0
1596,31.0
1597,31.0
1598,31.0
1599,31.0
1600,31.0
1601,31.0
1602,10.0
1603,10.0
1604,10.0
1605,10.0
1606,10.0
1607,10.0
1608,10.0
1609,10.0
1610,10.0
1611,10.0
1612,10.0
1613,10.0
1614,10.0
1615,10.0
1616,10.0
1617,10.0
1618,10.0
1619,20.0
1620,10.0
1621,10.0
1622,10.0
1623,10.0
1624,10.0
1625,10.0
1626,10.0
1627,10.0
1628,10.0
1629,10.0
1630,10.0
1631,10.0
1632,10.0
1633,10.0
1634,10.0
1635,10.0
1636,10.0
1637,10.0
1638,10.0
1639,10.0
1640,10.0
1641,10.0
1642,10.0
1643,20.0
1644,20.0
1645,10.0
1646,10.0
1647,10.0
1648,10.0
1649,20.0
1650,20.0
1651,20.0
1652,20.0
1653,10.0
1654,10.0
1655,10.0
1656,10.0
1657,10.0
1658,10.0
1659,10.0
1660,10.0
1661,10.0
1662,10.0
1663,10.0
1664,10.0
1665,31.0
1666,31.0
1667,31.0
1668,31.0
1669,31.0
1670,31.0
1671,31.0
1672,31.0
1673,31.0
1674,31.0
1675,31.0
1676,31.0
1677,31.0
1678,31.0
1679,31.0
1680,31.0
1681,31.0
1682,31.0
1683,31.0
1684,24.0
1685,24.0
1686,24.0
1687,24.0
1688,24.0
1689,10.0
1690,10.0
1691,10.0
1692,10.0
1693,10.0
1694,10.0
1695,10.0
1696,10.0
1697,10.0
1698,10.0
1699,31.0
1700,31.0
1701,31.0
1702,31.0
1703,31.0
1704,10.0
1705,10.0
1706,10.0
1707,10.0
1708,30.0
1709,30.0
1710,30.0
1711,30.0
1712,30.0
1713,30.0
1714,30.0
1715,30.0
1716,30.0
1717,30.0
1718,30.0
1719,30.0
1720,30.0
1721,30.0
1722,30.0
1723,30.0
1724,30.0
1725,30.0
1726,30.0
1727,30.0
1728,30.0
1729,30.0
1730,30.0
1731,30.0
1732,30.0
1733,30.0
1734,10.0
1735,20.0
1736,10.0
1737,10.0
1738,10.0
1739,10.0
1740,10.0
1741,10.0
1742,10.0
1743,10.0
1744,10.0
1745,10.0
1746,10.0
1747,10.0
1748,10.0
1749,10.0
1750,10.0
1751,10.0
1752,10.0
1753,10.0
1754,10.0
1755,10.0
1756,10.0
1757,11.0
1758,10.0
1759,10.0
1760,10.0
1761,10.0
1762,10.0
1763,10.0
1764,10.0
1765,10.0
1766,10.0
1767,10.0
1768,10.0
1769,10.0
1770,10.0
1771,10.0
1772,10.0
1773,10.0
1774,10.0
1775,10.0
1776,10.0
1777,10.0
1778,10.0
1779,10.0
1780,20.0
1781,10.0
1782,10.0
1783,10.0
1784,10.0
1785,10.0
1786,10.0
1787,10.0
1788,10.0
1789,10.0
1790,10.0
1791,10.0
1792,10.0
1793,24.0
1794,10.0
1795,10.0
1796,10.0
1797,10.0
1798,10.0
1799,10.0
1800,10.0
1801,10.0
1802,10.0
1803,10.0
1804,10.0
1805,10.0
1806,10.0
1807,10.0
1808,10.0
1809,10.0
1810,10.0
1811,10.0
1812,10.0
1813,10.0
1814,10.0
1815,10.0
1816,10.0
1817,10.0
1818,10.0
1819,10.0
1820,10.0
1821,10.0
1822,10.0
1823,10.0
1824,10.0
1825,10.0
1826,10.0
1827,10.0
1828,10.0
1829,10.0
1830,10.0
1831,10.0
1832,20.0
1833,10.0
1834,10.0
1835,10.0
1836,10.0
1837,10.0
1838,11.0
1839,10.0
1840,10.0
1841,10.0
1842,10.0
1843,10.0
1844,10.0
1845,10.0
1846,10.0
1847,10.0
1848,10.0
1849,10.0
1850,10.0
1851,10.0
1852,10.0
1853,10.0
1854,10.0
1855,10.0
1856,10.0
1857,10.0
1858,10.0
1859,10.0
1860,10.0
1861,10.0
1862,20.0
1863,20.0
1864,10.0
1865,10.0
1866,10.0
1867,10.0
1868,20.0
1869,10.0
1870,10.0
1871,10.0
1872,10.0
1873,10.0
1874,10.0
1875,10.0
1876,10.0
1877,10.0
1878,10.0
1879,10.0
1880,10.0
1881,11.0
1882,10.0
1883,10.0
1884,10.0
1885,10.0
1886,10.0
1887,10.0
1888,10.0
1889,10.0
1890,10.0
1891,10.0
1892,10.0
1893,10.0
1894,10.0
1895,10.0
1896,10.0
1897,10.0
1898,30.0
1899,30.0
1900,30.0
1901,30.0
1902,30.0
1903,30.0
1904,30.0
1905,30.0
1906,30.0
1907,30.0
1908,30.0
1909,30.0
1910,30.0
1911,30.0
1912,30.0
1913,30.0
1914,30.0
1915,30.0
1916,30.0
1917,30.0
1918,30.0
1919,30.0
1920,30.0
1921,30.0
1922,30.0
1923,30.0
1924,30.0
1925,30.0
1926,30.0
1927,30.0
1928,30.0
1929,30.0
1930,30.0
1931,30.0
1932,30.0
1933,30.0
1934,30.0
1935,30.0
1936,30.0
1937,30.0
1938,30.0
1939,30.0
1940,20.0
1941,20.0
1942,10.0
1943,10.0
1944,10.0
1945,10.0
1946,10.0
1947,10.0
1948,10.0
1949,10.0
1950,10.0
1951,10.0
1952,10.0
1953,10.0
1954,10.0
1955,10.0
1956,11.0
1957,10.0
1958,10.0
1959,10.0
1960,10.0
1961,10.0
1962,10.0
1963,10.0
1964,10.0
1965,10.0
1966,10.0
1967,10.0
1968,10.0
1969,10.0
1970,10.0
1971,10.0
1972,10.0
1973,10.0
1974,10.0
1975,10.0
1976,10.0
1977,10.0
1978,10.0
1979,10.0
1980,10.0
1981,10.0
1982,10.0
1983,10.0
1984,10.0
1985,10.0
1986,10.0
1987,10.0
1988,10.0
1989,11.0
1990,10.0
1991,10.0
1992,10.0
1993,10.0
1994,10.0
1995,10.0
1996,10.0
1997,10.0
1998,10.0
1999,10.0
2000,10.0
2001,10.0
2002,10.0
2003,10.0
2004,10.0
2005,10.0
2006,10.0
2007,10.0
2008,10.0
2009,10.0
2010,10.0
2011,10.0
2012,10.0
2013,20.0
2014,10.0
2015,10.0
2016,10.0
2017,10.0
2018,10.0
2019,10.0
2020,10.0
2021,10.0
2022,10.0
2023,10.0
2024,10.0
2025,31.0
2026,31.0
2027,31.0
2028,31.0
2029,31.0
2030,31.0
2031,31.0
2032,31.0
2033,31.0
2034,31.0
2035,31.0
2036,31.0
2037,31.0
2038,31.0
2039,31.0
2040,31.0
2041,31.0
2042,31.0
2043,31.0
2044,31.0
2045,31.0
2046,31.0
2047,31.0
2048,31.0
2049,31.0
2050,31.0
2051,31.0
2052,31.0
2053,31.0
2054,31.0
2055,31.0
2056,31.0
2057,31.0
2058,31.0
2059,31.0
2060,31.0
2061,31.0
2062,31.0
2063,31.0
2064,31.0
2065,31.0
2066,31.0
2067,31.0
2068,31.0
2069,31.0
2070,31.0
2071,20.0
2072,24.0
2073,24.0
2074,24.0
2075,24.0
2076,24.0
2077,24.0
2078,24.0
2079,24.0
2080,24.0
2081,24.0
2082,10.0
2083,10.0
2084,10.0
2085,10.0
2086,10.0
2087,10.0
2088,10.0
2089,20.0
2090,10.0
2091,10.0
2092,10.0
2093,10.0
2094,10.0
2095,10.0
2096,10.0
2097,10.0
2098,10.0
2099,10.0
2100,10.0
2101,10.0
2102,10.0
2103,10.0
2104,10.0
2105,10.0
2106,10.0
2107,10.0
2108,10.0
2109,10.0
2110,10.0
2111,10.0
2112,10.0
2113,10.0
2114,10.0
2115,31.0
2116,31.0
2117,31.0
2118,31.0
2119,31.0
2120,31.0
2121,31.0
2122,31.0
2123,31.0
2124,31.0
2125,31.0
2126,31.0
2127,31.0
2128,31.0
2129,31.0
2130,31.0
2131,31.0
2132,31.0
2133,31.0
2134,31.0
2135,31.0
2136,31.0
2137,31.0
2138,31.0
2139,31.0
2140,31.0
2141,31.0
